,Contract,MonthlyCharges,tenure,Dependents,SeniorCitizen,InternetService,StreamingTV,StreamingMovies,TechSupport,OnlineSecurity,Churn
1154,Two year,24.65,45,Yes,0,No,No,No,No,No,No
1155,Two year,76.1,70,No,0,DSL,Yes,No,Yes,No,No
1156,Two year,18.7,53,No,0,No,No,No,No,No,No
1157,One year,97.95,62,No,1,Fiber optic,Yes,No,No,No,No
1158,Month-to-month,94.1,60,No,0,Fiber optic,No,Yes,No,Yes,No
1159,Month-to-month,80.4,3,No,1,Fiber optic,Yes,No,No,No,Yes
1160,Month-to-month,95.1,23,No,1,Fiber optic,Yes,Yes,No,Yes,No
1161,Month-to-month,31.35,1,Yes,0,DSL,No,No,No,No,Yes
1162,One year,72.35,67,No,0,DSL,No,Yes,Yes,Yes,No
1163,Month-to-month,89.75,12,No,0,Fiber optic,Yes,No,No,No,Yes
1164,Two year,82.7,71,No,1,DSL,No,Yes,Yes,Yes,No
1165,One year,19.9,25,No,0,No,No,No,No,No,No
1166,Month-to-month,53.8,5,No,0,DSL,No,No,No,Yes,No
1167,One year,51.55,26,No,0,DSL,No,No,No,No,No
1168,One year,19.65,1,Yes,0,No,No,No,No,No,No
1169,One year,44.05,70,No,1,DSL,Yes,No,No,No,No
1170,Two year,114.0,72,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
1171,One year,94.4,60,No,0,Fiber optic,Yes,Yes,No,No,Yes
1172,Month-to-month,100.4,32,Yes,1,Fiber optic,Yes,Yes,No,No,No
1173,Month-to-month,19.85,1,No,0,No,No,No,No,No,Yes
1174,One year,54.25,14,No,0,DSL,No,No,No,No,No
1175,Month-to-month,80.0,13,No,0,Fiber optic,No,No,No,Yes,No
1176,Month-to-month,109.9,6,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
1177,Two year,79.2,46,No,0,DSL,Yes,Yes,No,Yes,No
1178,Month-to-month,101.35,15,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
1179,Month-to-month,94.3,43,No,1,Fiber optic,Yes,No,Yes,No,No
1180,Two year,49.8,39,No,0,DSL,No,No,Yes,No,No
1181,Month-to-month,60.05,21,No,1,DSL,Yes,No,No,No,Yes
1182,Month-to-month,53.75,57,No,0,DSL,Yes,Yes,No,Yes,No
1183,One year,93.45,53,No,0,Fiber optic,Yes,Yes,Yes,No,No
1184,Month-to-month,87.9,18,Yes,0,Fiber optic,Yes,No,No,Yes,No
1185,Month-to-month,60.15,1,No,0,DSL,No,Yes,No,No,Yes
1186,One year,61.05,58,No,0,DSL,No,No,Yes,Yes,No
1187,Two year,104.05,71,No,1,Fiber optic,Yes,Yes,No,No,No
1188,One year,99.25,35,No,0,Fiber optic,Yes,Yes,Yes,No,No
1189,Month-to-month,85.7,3,No,0,Fiber optic,No,Yes,No,No,No
1190,One year,104.85,38,No,0,Fiber optic,Yes,Yes,No,Yes,No
1191,Two year,69.15,35,Yes,0,DSL,No,No,Yes,Yes,No
1192,Month-to-month,90.45,7,No,0,Fiber optic,Yes,No,No,No,Yes
1193,Two year,74.45,47,No,0,DSL,Yes,Yes,Yes,No,No
1194,Month-to-month,50.45,14,No,0,DSL,No,No,No,No,No
1195,Month-to-month,60.0,20,No,1,DSL,No,Yes,No,No,No
1196,Two year,85.25,66,No,0,DSL,Yes,Yes,Yes,Yes,No
1197,Month-to-month,19.45,15,No,0,No,No,No,No,No,No
1198,Two year,20.75,42,No,0,No,No,No,No,No,No
1199,Month-to-month,78.9,17,No,0,Fiber optic,No,No,No,Yes,No
1200,One year,104.5,37,No,0,Fiber optic,Yes,Yes,Yes,No,No
1201,Month-to-month,49.4,12,No,0,DSL,No,No,No,No,No
1202,One year,94.25,53,No,0,Fiber optic,Yes,Yes,No,No,Yes
1203,Two year,25.0,60,No,0,No,No,No,No,No,No
1204,Month-to-month,25.55,18,Yes,0,DSL,No,No,No,No,No
1205,Month-to-month,74.9,1,No,0,Fiber optic,No,No,No,No,Yes
1206,Month-to-month,70.15,3,No,0,Fiber optic,No,No,No,No,No
1207,Month-to-month,69.4,9,Yes,0,DSL,Yes,Yes,Yes,No,No
1208,Month-to-month,80.25,1,No,0,Fiber optic,Yes,No,No,No,Yes
1209,One year,93.15,56,No,0,Fiber optic,No,No,No,Yes,No
1210,Month-to-month,69.0,17,Yes,0,Fiber optic,No,No,No,No,Yes
1211,Month-to-month,66.35,11,Yes,0,DSL,No,Yes,Yes,No,Yes
1212,Month-to-month,69.55,7,No,0,Fiber optic,No,No,No,No,No
1213,Two year,20.2,69,Yes,0,No,No,No,No,No,No
1214,Month-to-month,86.0,19,No,0,Fiber optic,No,Yes,No,No,Yes
1215,Month-to-month,80.3,3,Yes,0,Fiber optic,No,Yes,No,No,Yes
1216,Two year,20.4,54,Yes,0,No,No,No,No,No,No
1217,One year,23.75,62,No,0,No,No,No,No,No,No
1218,Month-to-month,90.55,24,No,0,Fiber optic,Yes,No,No,No,Yes
1219,Month-to-month,70.45,62,Yes,0,DSL,Yes,Yes,No,No,No
1220,Month-to-month,65.75,17,No,0,DSL,No,Yes,No,Yes,No
1221,Month-to-month,24.6,9,No,0,DSL,No,No,No,No,No
1222,Two year,69.25,64,Yes,0,DSL,Yes,No,Yes,Yes,No
1223,Month-to-month,75.9,2,No,0,Fiber optic,No,No,No,No,Yes
1224,Month-to-month,45.85,1,Yes,0,DSL,No,No,No,No,Yes
1225,Month-to-month,49.95,16,No,0,DSL,Yes,Yes,Yes,No,Yes
1226,Two year,24.65,72,No,0,No,No,No,No,No,No
1227,One year,90.4,30,No,0,Fiber optic,No,No,No,Yes,No
1228,Month-to-month,100.85,49,No,0,Fiber optic,Yes,Yes,No,Yes,No
1229,Two year,75.35,61,No,0,DSL,No,Yes,Yes,Yes,No
1230,Month-to-month,87.2,47,Yes,0,Fiber optic,Yes,No,No,No,No
1231,Month-to-month,64.4,20,No,0,DSL,No,Yes,No,Yes,No
1232,Month-to-month,78.3,34,Yes,0,Fiber optic,Yes,No,No,No,Yes
1233,Two year,24.7,70,Yes,0,No,No,No,No,No,No
1234,One year,105.85,54,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
1235,One year,98.3,61,No,1,Fiber optic,Yes,No,Yes,No,No
1236,Month-to-month,76.95,3,No,0,Fiber optic,No,No,No,No,Yes
1237,One year,19.45,13,No,0,No,No,No,No,No,No
1238,Month-to-month,96.15,16,No,1,Fiber optic,Yes,Yes,No,No,Yes
1239,Month-to-month,58.7,3,Yes,0,DSL,Yes,No,No,No,No
1240,Month-to-month,20.15,25,No,0,No,No,No,No,No,No
1241,Month-to-month,64.5,30,No,0,DSL,No,Yes,No,Yes,No
1242,Month-to-month,28.5,21,No,0,DSL,No,No,No,Yes,No
1243,Month-to-month,45.3,1,No,0,DSL,No,No,No,No,Yes
1244,Month-to-month,19.4,15,No,0,No,No,No,No,No,Yes
1245,Month-to-month,90.45,23,No,1,Fiber optic,Yes,Yes,No,No,No
1246,Month-to-month,105.15,45,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
1247,One year,83.15,24,Yes,0,Fiber optic,No,No,No,No,No
1248,Month-to-month,90.15,11,No,0,Fiber optic,Yes,No,Yes,No,Yes
1249,Month-to-month,45.05,1,No,0,DSL,No,No,No,No,Yes
1250,Two year,103.2,56,No,0,Fiber optic,Yes,Yes,Yes,No,No
1251,Month-to-month,75.8,1,No,0,Fiber optic,No,No,No,No,Yes
1252,Month-to-month,19.45,1,No,0,No,No,No,No,No,No
1253,Month-to-month,79.3,7,No,0,Fiber optic,No,Yes,No,No,Yes
1254,Two year,88.8,55,No,1,Fiber optic,Yes,No,Yes,No,No
1255,Month-to-month,30.9,2,No,0,DSL,No,No,Yes,No,Yes
1256,Two year,85.9,72,Yes,0,DSL,Yes,Yes,Yes,Yes,No
1257,One year,34.2,45,No,1,DSL,No,Yes,No,No,No
1258,Two year,20.15,47,No,0,No,No,No,No,No,No
1259,One year,95.25,46,No,1,Fiber optic,Yes,Yes,No,No,Yes
1260,Month-to-month,50.3,2,No,0,DSL,No,No,No,No,No
1261,Month-to-month,80.15,2,No,0,Fiber optic,No,No,Yes,Yes,No
1262,Month-to-month,51.25,12,No,0,DSL,No,No,No,No,No
1263,Month-to-month,89.6,68,No,1,Fiber optic,No,Yes,No,No,Yes
1264,Two year,95.2,69,Yes,0,Fiber optic,Yes,Yes,Yes,No,No
1265,One year,94.8,56,Yes,1,Fiber optic,Yes,Yes,No,Yes,No
1266,Month-to-month,80.25,4,No,1,Fiber optic,No,No,No,Yes,No
1267,Two year,76.1,64,No,0,DSL,Yes,No,Yes,No,No
1268,One year,110.15,59,No,0,Fiber optic,Yes,Yes,No,Yes,Yes
1269,Two year,115.55,62,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
1270,Two year,24.65,63,Yes,0,No,No,No,No,No,No
1271,One year,53.6,53,No,0,DSL,Yes,No,Yes,Yes,No
1272,Month-to-month,19.45,5,Yes,0,No,No,No,No,No,No
1273,Month-to-month,88.2,49,No,1,Fiber optic,No,No,No,Yes,No
1274,Two year,101.15,62,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
1275,Two year,56.8,55,No,0,DSL,No,No,Yes,Yes,No
1276,Two year,99.4,71,No,1,Fiber optic,Yes,No,Yes,Yes,No
1277,Two year,20.1,72,Yes,0,No,No,No,No,No,No
1278,One year,60.7,36,Yes,0,DSL,Yes,Yes,Yes,Yes,No
1279,One year,20.95,25,No,0,No,No,No,No,No,No
1280,Two year,114.85,72,No,1,Fiber optic,Yes,Yes,Yes,Yes,No
1281,One year,19.25,36,No,0,No,No,No,No,No,No
1282,Month-to-month,62.8,1,No,0,DSL,Yes,Yes,No,No,No
1283,Two year,105.5,72,No,0,Fiber optic,Yes,Yes,No,Yes,No
1284,Two year,19.85,59,Yes,0,No,No,No,No,No,No
1285,Month-to-month,89.5,7,No,1,Fiber optic,Yes,Yes,No,No,Yes
1286,One year,74.1,1,No,0,DSL,Yes,Yes,Yes,No,No
1287,Month-to-month,107.5,30,Yes,0,Fiber optic,Yes,Yes,Yes,No,No
1288,Two year,19.55,64,No,0,No,No,No,No,No,No
1289,One year,68.8,63,No,0,DSL,No,No,Yes,Yes,No
1290,Two year,84.45,72,No,1,DSL,Yes,Yes,No,Yes,No
1291,Month-to-month,75.0,8,No,0,Fiber optic,No,No,No,Yes,Yes
1292,Two year,84.5,62,No,0,DSL,Yes,Yes,Yes,No,No
1293,Two year,111.2,67,Yes,0,Fiber optic,Yes,Yes,Yes,No,No
1294,Month-to-month,44.75,6,No,0,DSL,No,No,No,No,Yes
1295,Two year,80.6,70,Yes,0,DSL,Yes,Yes,Yes,Yes,No
1296,Month-to-month,80.7,20,No,1,Fiber optic,Yes,No,No,No,No
1297,Month-to-month,75.6,5,No,0,Fiber optic,No,No,No,No,No
1298,One year,57.6,24,Yes,0,DSL,Yes,Yes,No,Yes,No
1299,Month-to-month,44.05,11,No,0,DSL,No,No,No,No,Yes
1300,Two year,110.6,72,No,0,Fiber optic,Yes,Yes,Yes,No,No
1301,Two year,58.2,66,Yes,0,DSL,No,No,Yes,Yes,No
1302,Two year,81.0,45,Yes,0,DSL,Yes,Yes,Yes,Yes,No
1303,Two year,19.7,69,Yes,0,No,No,No,No,No,No
1304,Month-to-month,85.6,15,No,1,Fiber optic,No,Yes,No,No,Yes
1305,Month-to-month,59.55,28,No,0,DSL,Yes,No,No,No,No
1306,One year,115.55,70,No,0,Fiber optic,Yes,Yes,Yes,Yes,Yes
1307,One year,75.55,36,No,0,DSL,No,Yes,Yes,Yes,No
1308,Month-to-month,86.6,16,No,1,Fiber optic,Yes,No,No,No,Yes
1309,Month-to-month,85.2,18,No,0,Fiber optic,Yes,No,No,No,Yes
1310,Month-to-month,97.65,34,No,0,Fiber optic,Yes,Yes,No,No,Yes
1311,One year,45.1,42,Yes,0,DSL,No,Yes,No,No,No
1312,One year,70.95,48,No,0,DSL,No,Yes,Yes,Yes,No
1313,Month-to-month,109.55,47,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
1314,One year,89.55,39,Yes,0,Fiber optic,No,No,Yes,No,Yes
1315,Two year,20.9,11,Yes,0,No,No,No,No,No,No
1316,Month-to-month,19.95,7,No,0,No,No,No,No,No,No
1317,Month-to-month,24.6,3,No,0,No,No,No,No,No,No
1318,Month-to-month,66.7,8,No,0,DSL,No,Yes,No,Yes,No
1319,Month-to-month,19.45,1,Yes,0,No,No,No,No,No,Yes
1320,One year,94.8,32,Yes,0,Fiber optic,No,Yes,No,Yes,No
1321,One year,65.85,60,Yes,0,DSL,No,No,Yes,Yes,No
1322,Month-to-month,19.95,10,No,0,No,No,No,No,No,No
1323,Two year,24.65,71,No,0,No,No,No,No,No,No
1324,Month-to-month,20.35,4,Yes,0,No,No,No,No,No,Yes
1325,Month-to-month,69.25,1,No,1,Fiber optic,No,No,No,No,Yes
1326,One year,51.25,43,Yes,0,DSL,Yes,No,Yes,Yes,No
1327,One year,99.5,59,No,0,Fiber optic,Yes,Yes,No,No,Yes
1328,Month-to-month,54.25,23,No,0,DSL,No,No,Yes,No,No
1329,Two year,19.4,72,No,0,No,No,No,No,No,No
1330,One year,56.25,22,No,0,DSL,No,No,Yes,Yes,No
1331,Month-to-month,25.15,1,No,0,DSL,No,No,No,No,No
1332,Two year,23.95,69,No,0,No,No,No,No,No,No
1333,One year,35.4,50,No,0,DSL,No,No,Yes,Yes,No
1334,Month-to-month,25.2,1,No,1,DSL,No,No,No,No,Yes
1335,Month-to-month,45.0,2,No,0,DSL,No,No,No,No,Yes
1336,Month-to-month,75.35,15,No,0,Fiber optic,No,No,No,No,No
1337,Two year,20.4,31,No,0,No,No,No,No,No,No
1338,Month-to-month,20.15,1,No,0,No,No,No,No,No,Yes
1339,Month-to-month,105.0,66,No,0,Fiber optic,Yes,Yes,No,No,Yes
1340,Two year,56.05,0,Yes,0,DSL,Yes,No,Yes,Yes,No
1341,Month-to-month,54.7,3,Yes,0,DSL,Yes,No,No,No,Yes
1342,Two year,20.0,8,No,0,No,No,No,No,No,No
1343,One year,73.05,64,Yes,0,DSL,Yes,Yes,No,Yes,No
1344,Month-to-month,20.5,28,No,0,No,No,No,No,No,No
1345,One year,100.75,57,No,0,Fiber optic,Yes,Yes,No,No,No
1346,Month-to-month,87.25,14,Yes,0,Fiber optic,No,Yes,No,No,Yes
1347,Two year,19.95,19,No,0,No,No,No,No,No,No
1348,Month-to-month,79.95,10,No,0,Fiber optic,Yes,No,No,No,Yes
1349,Month-to-month,49.65,51,No,0,DSL,Yes,Yes,No,No,No
1350,Two year,65.65,67,No,0,DSL,No,No,No,Yes,No
1351,Month-to-month,20.45,11,Yes,0,No,No,No,No,No,No
1352,Two year,60.95,72,Yes,0,DSL,Yes,Yes,Yes,Yes,No
1353,One year,20.35,66,Yes,0,No,No,No,No,No,No
1354,Month-to-month,88.35,18,No,0,Fiber optic,Yes,No,Yes,No,Yes
1355,Month-to-month,19.5,9,No,0,No,No,No,No,No,No
1356,Month-to-month,75.2,9,No,0,Fiber optic,No,No,No,No,No
1357,Month-to-month,111.45,48,No,0,Fiber optic,Yes,Yes,No,Yes,No
1358,Month-to-month,70.15,10,No,0,Fiber optic,No,No,No,No,No
1359,Month-to-month,94.75,9,No,0,Fiber optic,Yes,Yes,No,No,Yes
1360,Month-to-month,95.05,13,No,1,Fiber optic,Yes,Yes,No,No,Yes
1361,Month-to-month,78.45,4,No,0,Fiber optic,No,No,No,No,Yes
1362,Month-to-month,70.2,4,No,0,Fiber optic,No,No,No,No,Yes
1363,Two year,92.0,72,No,0,DSL,Yes,Yes,Yes,Yes,No
1364,Two year,85.5,51,Yes,0,DSL,Yes,Yes,Yes,Yes,No
1365,Month-to-month,41.05,59,No,0,DSL,No,Yes,No,No,Yes
1366,Month-to-month,85.6,10,No,0,Fiber optic,Yes,No,No,No,Yes
1367,Month-to-month,82.15,61,No,1,Fiber optic,No,No,No,No,No
1368,One year,84.4,54,No,0,Fiber optic,No,No,Yes,Yes,No
1369,Month-to-month,60.9,33,No,0,DSL,No,No,No,Yes,No
1370,Two year,20.25,27,No,0,No,No,No,No,No,No
1371,Month-to-month,79.2,1,No,1,Fiber optic,Yes,No,No,No,Yes
1372,Month-to-month,95.3,23,No,0,Fiber optic,Yes,Yes,No,No,No
1373,Month-to-month,19.85,1,Yes,0,No,No,No,No,No,No
1374,Two year,84.35,45,Yes,0,DSL,Yes,Yes,Yes,Yes,No
1375,Two year,19.85,39,Yes,0,No,No,No,No,No,No
1376,One year,70.0,5,No,0,DSL,Yes,Yes,No,No,Yes
1377,Two year,82.3,72,Yes,0,DSL,Yes,No,Yes,Yes,No
1378,Month-to-month,66.8,58,Yes,0,DSL,Yes,No,No,No,No
1379,Two year,44.6,70,No,0,DSL,No,No,Yes,Yes,No
1380,One year,98.45,61,Yes,0,Fiber optic,Yes,Yes,Yes,No,No
1381,Month-to-month,70.7,2,No,0,Fiber optic,No,No,No,No,No
1382,One year,24.95,46,Yes,0,No,No,No,No,No,No
1383,Month-to-month,49.95,1,No,0,DSL,No,No,No,No,Yes
1384,Month-to-month,69.25,22,No,0,Fiber optic,No,No,No,No,Yes
1385,Two year,102.5,48,No,0,Fiber optic,Yes,Yes,Yes,Yes,No
1386,Two year,86.55,64,No,0,DSL,Yes,Yes,Yes,No,No
1387,Two year,24.3,72,Yes,0,No,No,No,No,No,No
1388,Month-to-month,58.35,12,Yes,0,DSL,Yes,No,No,No,No
1389,Month-to-month,94.25,34,No,1,Fiber optic,No,Yes,No,No,Yes
1390,Two year,68.75,72,Yes,0,DSL,No,Yes,No,Yes,No
1391,Month-to-month,85.8,29,No,0,Fiber optic,No,No,No,No,No
1392,One year,20.1,33,Yes,0,No,No,No,No,No,No
1393,Month-to-month,20.35,1,No,0,No,No,No,No,No,No
1394,One year,110.8,62,Yes,0,Fiber optic,Yes,Yes,Yes,No,No
1395,One year,73.0,41,No,0,DSL,Yes,Yes,No,No,Yes
1396,One year,100.05,64,No,0,Fiber optic,Yes,Yes,No,No,Yes
1397,Month-to-month,82.85,4,No,0,Fiber optic,No,Yes,No,No,No
1398,Month-to-month,84.35,24,No,0,Fiber optic,No,No,Yes,Yes,No
1399,One year,19.55,14,Yes,0,No,No,No,No,No,No
1400,Month-to-month,19.95,3,Yes,0,No,No,No,No,No,No
1401,Month-to-month,99.8,4,No,1,Fiber optic,Yes,Yes,No,No,Yes
1402,Month-to-month,35.0,18,Yes,0,DSL,No,Yes,No,No,Yes
1403,Month-to-month,66.25,8,No,0,DSL,Yes,Yes,No,No,No
1404,Two year,23.3,35,No,0,No,No,No,No,No,No
1405,Month-to-month,76.0,1,No,0,Fiber optic,No,No,No,No,Yes
1406,Two year,25.3,66,Yes,0,No,No,No,No,No,No
1407,Two year,44.55,8,Yes,0,DSL,No,Yes,Yes,Yes,No
1408,One year,104.1,71,No,0,Fiber optic,Yes,Yes,No,Yes,No
1409,Month-to-month,92.55,43,Yes,0,Fiber optic,No,Yes,No,No,No
1410,Month-to-month,93.85,2,No,1,Fiber optic,Yes,Yes,No,No,Yes
1411,Month-to-month,101.45,29,No,1,Fiber optic,Yes,Yes,No,No,No
1412,Month-to-month,84.3,15,No,0,Fiber optic,Yes,No,No,No,Yes
1413,Two year,94.55,65,Yes,0,Fiber optic,No,No,Yes,Yes,No
1414,Month-to-month,95.5,35,No,0,Fiber optic,Yes,No,Yes,No,No
1415,One year,100.3,64,No,0,Fiber optic,Yes,Yes,No,Yes,No
1416,Two year,55.5,58,Yes,0,DSL,Yes,Yes,Yes,No,No
1417,Month-to-month,49.85,18,No,1,DSL,No,No,No,No,No
1418,Month-to-month,89.55,67,Yes,0,Fiber optic,No,Yes,No,No,No
1419,Two year,19.15,63,Yes,0,No,No,No,No,No,No
1420,Month-to-month,99.8,60,No,0,Fiber optic,Yes,Yes,No,No,No
1421,Month-to-month,84.4,9,No,1,Fiber optic,No,Yes,No,No,Yes
1422,Two year,113.05,70,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
1423,Month-to-month,101.1,15,No,0,Fiber optic,Yes,Yes,No,No,Yes
1424,One year,19.95,48,Yes,0,No,No,No,No,No,No
1425,Month-to-month,74.15,12,No,0,DSL,Yes,Yes,Yes,No,No
1426,One year,92.0,71,No,1,Fiber optic,No,No,Yes,Yes,No
1427,Month-to-month,73.85,44,No,1,Fiber optic,No,No,No,No,No
1428,Month-to-month,50.45,1,No,0,DSL,No,No,No,No,Yes
1429,Two year,24.45,45,Yes,0,No,No,No,No,No,No
1430,One year,24.8,23,No,0,No,No,No,No,No,No
1431,One year,64.85,43,No,0,DSL,Yes,No,Yes,No,No
1432,Month-to-month,20.75,35,No,0,No,No,No,No,No,No
1433,Month-to-month,68.95,9,No,0,DSL,Yes,No,Yes,Yes,No
1434,Month-to-month,99.95,12,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
1435,Month-to-month,109.4,65,No,1,Fiber optic,Yes,Yes,No,Yes,No
1436,Month-to-month,91.4,2,No,0,Fiber optic,Yes,No,No,No,Yes
1437,Month-to-month,49.0,27,No,0,DSL,No,No,No,No,No
1438,One year,50.25,40,No,0,DSL,No,No,No,No,No
1439,Month-to-month,75.55,5,No,1,Fiber optic,No,No,No,No,Yes
1440,One year,19.9,8,Yes,0,No,No,No,No,No,No
1441,One year,97.8,58,No,1,Fiber optic,Yes,Yes,No,No,No
1442,One year,100.3,52,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
1443,Month-to-month,55.8,3,No,0,DSL,No,No,Yes,No,No
1444,Two year,111.15,41,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
1445,Month-to-month,98.55,20,No,0,Fiber optic,Yes,Yes,Yes,No,No
1446,Month-to-month,50.05,1,Yes,0,DSL,No,No,No,No,No
1447,Month-to-month,80.8,4,Yes,0,Fiber optic,No,No,Yes,No,Yes
1448,Month-to-month,20.85,23,No,0,No,No,No,No,No,No
1449,Month-to-month,19.5,6,No,1,No,No,No,No,No,No
1450,Month-to-month,19.35,8,Yes,0,No,No,No,No,No,No
1451,Month-to-month,69.5,18,No,0,DSL,Yes,No,No,Yes,No
1452,Month-to-month,48.8,52,No,1,DSL,Yes,Yes,No,Yes,No
1453,Month-to-month,94.5,31,No,0,Fiber optic,Yes,Yes,No,No,No
1454,Month-to-month,20.65,29,Yes,0,No,No,No,No,No,No
1455,Two year,106.05,36,No,0,Fiber optic,No,Yes,Yes,Yes,No
1456,Month-to-month,100.0,16,No,0,Fiber optic,Yes,Yes,No,No,Yes
1457,One year,108.3,42,No,0,Fiber optic,Yes,Yes,Yes,No,No
1458,Month-to-month,20.55,1,No,0,No,No,No,No,No,Yes
1459,Two year,99.65,60,No,0,Fiber optic,Yes,Yes,No,No,No
1460,Month-to-month,85.3,5,No,0,Fiber optic,No,No,No,No,Yes
1461,Month-to-month,95.9,22,No,0,Fiber optic,Yes,No,Yes,Yes,No
1462,One year,20.0,36,No,0,No,No,No,No,No,No
1463,Month-to-month,70.4,4,No,0,Fiber optic,No,No,No,No,Yes
1464,Month-to-month,64.95,9,No,0,DSL,No,Yes,Yes,Yes,No
1465,Month-to-month,74.6,1,Yes,0,Fiber optic,No,No,No,No,No
1466,Month-to-month,49.2,12,Yes,0,DSL,No,No,No,Yes,No
1467,One year,73.75,23,No,0,DSL,Yes,Yes,Yes,No,No
1468,One year,92.3,62,No,0,Fiber optic,No,Yes,No,Yes,No
1469,Month-to-month,98.8,37,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
1470,Month-to-month,19.2,8,No,0,No,No,No,No,No,No
1471,Month-to-month,88.65,31,No,0,Fiber optic,Yes,No,No,No,No
1472,Month-to-month,74.4,13,Yes,0,Fiber optic,No,No,No,No,Yes
1473,Month-to-month,98.75,24,No,0,Fiber optic,Yes,Yes,No,No,Yes
1474,Month-to-month,95.95,45,Yes,0,Fiber optic,No,Yes,No,No,No
1475,Two year,105.4,69,No,1,Fiber optic,Yes,Yes,Yes,No,No
1476,Month-to-month,20.25,2,No,0,No,No,No,No,No,No
1477,One year,106.0,61,Yes,0,Fiber optic,Yes,Yes,No,Yes,Yes
1478,Month-to-month,104.7,41,No,0,Fiber optic,Yes,Yes,No,No,Yes
1479,One year,49.05,44,No,0,DSL,Yes,Yes,No,No,No
1480,One year,35.55,39,No,0,DSL,No,No,Yes,No,No
1481,Two year,65.1,72,Yes,0,DSL,Yes,Yes,Yes,Yes,No
1482,Month-to-month,96.85,13,No,1,Fiber optic,Yes,Yes,No,No,No
1483,One year,69.75,51,Yes,0,DSL,No,Yes,Yes,Yes,No
1484,Two year,99.2,71,No,1,Fiber optic,Yes,Yes,No,No,No
1485,Month-to-month,96.7,22,No,1,Fiber optic,Yes,Yes,No,No,Yes
1486,Month-to-month,55.05,2,No,0,DSL,No,No,Yes,No,Yes
1487,One year,106.8,56,No,0,Fiber optic,Yes,Yes,No,No,No
1488,Month-to-month,51.25,1,No,0,DSL,No,No,No,Yes,No
1489,One year,57.75,23,Yes,0,DSL,No,No,Yes,Yes,No
1490,One year,70.85,66,No,1,DSL,Yes,No,No,No,No
1491,Month-to-month,19.55,1,No,0,No,No,No,No,No,No
1492,Month-to-month,88.2,19,No,1,Fiber optic,Yes,No,No,No,Yes
1493,Month-to-month,79.5,11,No,0,Fiber optic,No,No,No,Yes,No
1494,One year,19.75,8,Yes,0,No,No,No,No,No,Yes
1495,Month-to-month,98.15,52,Yes,0,Fiber optic,No,Yes,No,Yes,No
1496,Month-to-month,20.25,3,No,0,No,No,No,No,No,No
1497,Month-to-month,79.15,51,Yes,0,Fiber optic,No,No,No,Yes,No
1498,Month-to-month,75.65,15,No,1,Fiber optic,No,No,No,No,Yes
1499,Month-to-month,94.25,64,No,1,Fiber optic,No,Yes,No,No,No
1500,Month-to-month,40.2,37,No,0,DSL,No,Yes,No,No,No
1501,Two year,19.95,13,No,0,No,No,No,No,No,No
1502,One year,55.35,49,No,0,DSL,No,No,No,Yes,No
1503,One year,102.15,45,No,1,Fiber optic,Yes,Yes,No,No,No
1504,Month-to-month,71.1,18,No,0,Fiber optic,No,No,No,No,No
1505,Month-to-month,74.7,1,No,1,Fiber optic,No,No,No,No,Yes
1506,Two year,54.1,68,No,0,DSL,Yes,Yes,No,Yes,No
1507,Two year,19.65,54,No,0,No,No,No,No,No,No
1508,Month-to-month,88.45,23,Yes,1,Fiber optic,No,Yes,No,No,No
1509,Month-to-month,76.65,17,No,0,Fiber optic,No,No,No,No,Yes
1510,Two year,80.4,71,No,0,DSL,No,Yes,Yes,Yes,No
1511,Two year,19.25,67,Yes,0,No,No,No,No,No,No
1512,Month-to-month,84.8,14,Yes,0,Fiber optic,Yes,No,No,No,No
1513,Month-to-month,25.8,1,No,1,DSL,No,No,No,No,Yes
1514,Two year,19.5,63,Yes,0,No,No,No,No,No,No
1515,One year,68.6,41,No,0,DSL,No,Yes,Yes,No,No
1516,Month-to-month,92.6,17,No,0,Fiber optic,Yes,Yes,No,No,No
1517,One year,100.55,56,No,0,Fiber optic,Yes,Yes,No,Yes,No
1518,Month-to-month,20.55,5,No,0,No,No,No,No,No,No
1519,Month-to-month,42.6,2,No,0,DSL,No,Yes,No,Yes,Yes
1520,Month-to-month,19.6,3,No,0,No,No,No,No,No,No
1521,One year,67.45,37,No,0,DSL,No,No,Yes,Yes,No
1522,Month-to-month,68.85,29,No,0,DSL,No,Yes,No,Yes,Yes
1523,Month-to-month,43.55,8,No,0,DSL,No,No,No,No,No
1524,Month-to-month,109.85,63,No,0,Fiber optic,Yes,Yes,Yes,No,No
1525,Month-to-month,20.65,7,Yes,0,No,No,No,No,No,No
1526,Month-to-month,95.4,3,No,0,Fiber optic,Yes,Yes,No,No,No
1527,Two year,21.0,72,Yes,0,No,No,No,No,No,No
