,state,total_charge,international_plan,voice_mail_plan,number_customer_service_calls,churn
745,VT,58.26,no,no,0,no
746,AZ,41.66,no,no,1,no
747,LA,56.050000000000004,no,yes,1,yes
748,MO,54.74,yes,no,2,no
749,ME,43.7,no,no,4,yes
750,VT,44.04,no,no,2,no
751,DC,62.54,no,yes,0,no
752,VA,67.0,no,yes,1,no
753,CT,82.41,no,no,2,yes
754,HI,56.29,no,no,7,no
755,WI,60.25,no,no,0,no
756,MD,72.65,no,no,1,yes
757,WV,47.87,no,no,4,yes
758,UT,40.45,no,yes,1,no
759,CO,56.36,no,no,6,no
760,NC,39.77,no,yes,0,no
761,NJ,51.53,no,yes,0,no
762,IA,44.74000000000001,no,no,2,no
763,GA,75.12,no,yes,1,no
764,MO,85.29,no,no,0,yes
765,MO,38.17,no,no,2,no
766,HI,41.690000000000005,no,no,0,no
767,PA,70.58000000000001,no,no,1,no
768,TX,54.089999999999996,no,no,1,no
769,VA,40.589999999999996,no,no,1,no
770,RI,46.64,no,no,1,no
771,MS,44.019999999999996,no,no,1,no
772,KY,49.699999999999996,no,no,1,no
773,NC,30.0,no,no,1,no
774,NV,52.64999999999999,no,no,0,no
775,UT,45.05,no,yes,0,no
776,HI,63.10999999999999,no,no,1,no
777,WV,38.78,no,no,1,no
778,OK,67.19,no,no,1,no
779,KY,48.37,yes,no,1,yes
780,AL,41.1,no,no,1,no
781,MD,68.93,no,no,4,no
782,NE,59.95,no,yes,0,no
783,TX,48.76,no,no,1,no
784,OH,44.26,no,no,2,no
785,DE,58.44,no,no,0,no
786,IA,60.88,no,no,2,no
787,VT,59.78,no,no,0,no
788,OR,62.449999999999996,no,no,1,no
789,NV,53.44,no,yes,4,yes
790,NC,53.45,no,no,2,no
791,NJ,75.15,no,no,2,yes
792,MN,53.16,no,yes,1,no
793,ID,51.87,no,no,1,no
794,AL,67.04,no,no,1,no
795,VT,54.87,no,no,4,no
796,PA,55.239999999999995,no,no,3,no
797,AK,55.93,no,yes,2,no
798,CA,55.510000000000005,no,no,2,no
799,MS,54.45,no,yes,0,no
800,NV,58.379999999999995,yes,no,0,no
801,AL,63.89,no,yes,3,no
802,GA,46.67,no,no,2,no
803,AR,59.410000000000004,no,no,3,no
804,MA,71.01,no,no,0,no
805,NJ,58.71,no,no,3,no
806,MO,52.419999999999995,no,yes,1,no
807,AZ,56.419999999999995,no,no,0,no
808,NJ,59.68000000000001,no,yes,2,yes
809,WV,60.78,no,no,0,no
810,NM,58.239999999999995,no,yes,1,yes
811,SC,60.47,no,no,0,no
812,VT,58.99,no,no,1,no
813,TN,61.0,no,no,3,no
814,LA,59.67,no,no,1,no
815,OH,45.68,no,no,0,no
816,OR,54.2,no,yes,6,no
817,DE,81.75,no,no,0,yes
818,KY,45.25,no,no,0,no
819,GA,45.019999999999996,no,yes,4,yes
820,VT,79.98,no,no,4,yes
821,OR,46.24000000000001,no,no,0,no
822,TX,56.269999999999996,no,no,3,no
823,MO,51.45,no,yes,1,no
824,ND,49.38,no,yes,1,no
825,MN,65.16,no,no,1,no
826,NV,59.07000000000001,no,no,1,no
827,NY,92.56,yes,no,1,yes
828,FL,40.49,no,yes,1,no
829,KS,75.93,yes,yes,1,yes
830,NV,69.38,no,no,1,no
831,MI,53.96000000000001,no,yes,2,no
832,MI,31.240000000000002,no,yes,1,no
833,TN,45.03,no,no,0,no
834,NV,51.85999999999999,no,no,1,no
835,IL,45.08,no,no,0,no
836,MS,61.97,no,no,2,no
837,ND,58.17,no,no,0,no
838,NC,51.77,no,no,0,no
839,TN,47.28,no,no,1,no
840,VT,48.45,no,yes,2,no
841,OK,55.720000000000006,no,yes,0,no
842,DE,53.199999999999996,no,yes,1,no
843,OR,65.36,no,no,2,no
844,NY,51.03,no,no,1,no
845,MO,41.699999999999996,no,yes,2,no
846,FL,52.67,no,no,3,no
847,ND,71.28,no,no,0,no
848,ND,46.32,no,no,2,no
849,NY,52.980000000000004,no,no,1,no
850,OH,40.17,no,no,0,no
851,AL,66.62,no,no,0,no
852,SC,46.11,no,no,1,no
853,GA,58.72,no,no,2,no
854,WY,72.03999999999999,no,no,1,yes
855,WV,47.26,no,no,1,no
856,HI,52.08,no,yes,2,no
857,WV,47.74,no,no,1,no
858,AR,46.35,no,no,2,no
859,AK,54.59,yes,no,1,no
860,DC,78.99,no,yes,1,no
861,AL,48.08,no,yes,2,no
862,UT,65.67999999999999,yes,no,1,yes
863,KS,66.29,no,no,1,no
864,VA,66.17,no,yes,2,yes
865,UT,47.01,no,no,1,no
866,DE,42.42,no,no,2,no
867,VT,57.949999999999996,no,no,2,no
868,MO,49.629999999999995,no,yes,3,no
869,RI,44.629999999999995,yes,no,0,no
870,CA,35.32,no,no,5,yes
871,RI,50.6,no,no,2,no
872,CT,61.7,no,no,4,no
873,IN,67.28999999999999,no,yes,0,no
874,FL,42.32,yes,yes,0,no
875,KS,52.98,no,no,3,no
876,NY,58.11,yes,no,4,no
877,TX,57.28999999999999,no,no,4,no
878,RI,68.64,no,no,0,no
879,NV,56.99,no,no,0,no
880,UT,62.85,no,no,0,no
881,OK,50.01,no,no,1,no
882,MN,39.75,no,yes,2,no
883,NC,69.66,no,no,0,no
884,NH,54.769999999999996,no,no,2,no
885,AK,45.309999999999995,no,no,1,no
886,KS,51.650000000000006,no,no,0,no
887,WV,38.51,no,yes,1,no
888,NM,61.42999999999999,no,no,1,no
889,OH,48.220000000000006,no,no,1,no
890,RI,40.120000000000005,no,yes,1,no
891,HI,39.55,no,no,1,no
892,NY,65.59,no,yes,0,no
893,KS,67.83,no,yes,0,no
894,LA,57.47,no,no,1,no
895,NV,54.49,no,no,1,no
896,PA,63.400000000000006,no,no,1,no
897,MO,52.38,no,yes,1,no
898,ME,64.02,no,no,2,no
899,NH,55.58,no,no,0,no
900,WY,32.21,no,yes,1,no
901,ME,80.99,no,no,0,yes
902,MN,63.94,no,no,1,no
903,OH,57.36,no,no,0,no
904,NC,78.62,no,yes,1,no
905,SD,62.74,no,no,3,no
906,UT,61.54,yes,no,3,no
907,KY,68.56,no,no,3,no
908,MT,66.7,no,no,2,no
909,NJ,54.58,no,no,3,no
910,FL,66.55,no,no,1,no
911,IN,47.15,no,yes,0,no
912,DE,59.04,no,no,2,no
913,ME,54.15,no,no,2,no
914,SD,53.39,no,no,1,no
915,AK,65.55,no,no,0,no
916,ID,70.77,no,no,1,no
917,RI,49.120000000000005,no,no,1,no
918,KY,77.86999999999999,no,yes,1,no
919,ND,56.63,no,no,1,no
920,HI,67.86000000000001,no,no,3,no
921,WI,66.91000000000001,no,yes,1,no
922,WV,56.43,no,no,2,no
923,NJ,48.43,no,no,4,yes
924,KS,55.22,no,no,0,no
925,AL,61.370000000000005,no,no,4,no
926,NJ,62.16,no,yes,2,yes
927,NC,59.29,no,no,3,no
928,DE,54.05,no,yes,3,no
929,WY,56.53,no,no,3,no
930,ID,49.13,no,no,0,no
931,NY,57.97,no,no,2,no
932,MO,53.36,no,no,0,no
933,ID,44.1,no,no,0,no
934,IA,61.93,no,no,1,no
935,TN,62.05,no,yes,1,no
936,OH,53.019999999999996,no,no,1,yes
937,IL,60.099999999999994,no,no,3,no
938,FL,58.9,yes,no,1,no
939,MA,53.519999999999996,no,no,3,no
940,OK,63.59,no,no,3,no
941,KY,47.28,no,no,1,no
942,MI,51.36,no,no,5,yes
943,NE,63.96,no,no,1,yes
944,VA,54.7,no,yes,2,no
945,NY,59.27,no,no,1,no
946,VT,42.07000000000001,no,yes,2,no
947,KS,57.98,no,yes,0,no
948,AL,36.75,no,no,2,no
949,PA,32.66,no,no,1,no
950,WV,39.33,no,yes,1,no
951,NV,48.92,no,no,5,yes
952,ID,68.98,no,yes,2,no
953,WY,75.67000000000002,yes,yes,1,yes
954,TX,57.42,no,yes,1,no
955,MA,50.5,no,no,1,no
956,IL,61.209999999999994,no,no,2,no
957,LA,59.32,no,yes,1,no
958,CO,60.32,no,no,1,no
959,MI,64.97999999999999,no,yes,0,no
960,NH,55.2,no,no,2,no
961,WA,54.53,no,no,1,no
962,MN,67.35,no,yes,0,no
963,NY,46.830000000000005,no,no,3,no
964,HI,54.980000000000004,no,yes,0,no
965,CT,39.949999999999996,no,no,1,no
966,CO,59.980000000000004,no,yes,1,no
967,KS,47.9,no,no,4,yes
968,NJ,50.75,no,no,1,no
969,FL,49.47,no,no,1,no
970,CA,57.85,yes,no,1,no
971,KS,45.709999999999994,no,no,0,no
972,TX,39.730000000000004,no,yes,0,no
973,MN,56.93,yes,no,3,no
974,AK,46.03999999999999,no,no,0,no
975,MS,48.910000000000004,no,yes,2,no
976,VT,84.68,yes,yes,0,no
977,KS,54.2,no,no,1,no
978,DE,47.64,yes,no,1,no
979,IN,59.239999999999995,no,no,0,no
980,TX,48.17,no,no,1,no
981,MA,54.769999999999996,no,no,2,no
982,CA,46.349999999999994,no,yes,1,no
983,IA,53.379999999999995,no,yes,0,no
984,NH,57.75,no,no,4,no
985,GA,47.56,no,no,3,no
986,WI,53.449999999999996,no,yes,3,no
987,SC,60.279999999999994,no,no,0,no
988,MI,66.65,no,yes,1,no
989,MD,70.86,no,no,3,yes
990,IN,55.97,no,yes,2,no
991,ME,63.3,no,no,2,no
992,DC,63.989999999999995,no,no,3,no
993,TN,52.36,no,yes,0,no
994,FL,69.29,no,yes,2,no
995,WA,51.77,no,no,1,no
996,HI,51.29,no,yes,0,no
997,NE,38.63,no,no,0,no
998,TN,52.92,yes,no,2,no
999,MD,74.24,yes,no,4,yes
1000,NM,48.71,yes,yes,5,yes
1001,OR,60.97,no,no,1,no
1002,IN,59.220000000000006,no,no,1,no
1003,MO,68.89,no,no,4,no
1004,DC,68.52,no,yes,1,no
1005,VT,66.73,no,yes,1,no
1006,OH,66.91,no,yes,2,no
1007,MO,48.73,no,no,0,no
1008,LA,60.46,no,yes,1,no
1009,IL,69.67,yes,no,1,yes
1010,NJ,57.77,no,no,1,no
1011,IA,48.42000000000001,no,yes,0,no
1012,WA,49.400000000000006,no,yes,2,no
1013,NE,59.26,no,no,3,no
1014,CT,59.9,yes,yes,0,no
1015,WV,69.25,no,no,1,no
1016,ND,59.419999999999995,no,no,1,no
1017,UT,56.92999999999999,no,no,1,no
1018,MS,63.28,no,no,1,no
1019,MN,48.669999999999995,no,no,2,no
1020,NH,59.69,no,no,1,no
1021,LA,46.629999999999995,no,no,3,no
1022,ME,55.33,no,yes,4,no
1023,KS,72.53999999999999,no,yes,3,no
1024,KS,57.379999999999995,no,no,1,no
1025,NV,50.44,no,no,2,no
1026,MT,48.85,no,no,2,no
1027,MT,64.16,no,no,3,no
1028,AK,50.06,no,no,1,no
1029,UT,34.099999999999994,no,no,1,no
1030,AR,54.8,no,no,2,no
1031,LA,52.67,no,yes,0,no
1032,KS,55.18,no,yes,1,no
1033,OR,45.79,no,no,2,no
1034,WI,67.03999999999999,no,no,1,no
1035,KS,65.23,no,no,0,yes
1036,IL,31.11,no,no,0,no
1037,IA,42.78,no,no,2,no
1038,AZ,55.57999999999999,no,no,4,no
1039,NE,52.42,no,no,0,no
1040,ID,46.949999999999996,no,no,3,no
1041,OH,70.96000000000001,yes,yes,3,no
1042,TX,52.4,no,no,2,no
1043,TN,53.849999999999994,no,yes,4,yes
1044,OK,60.02,no,no,5,no
1045,ND,69.67999999999999,yes,no,3,no
1046,NC,66.85,no,yes,1,no
1047,MN,51.95,no,no,2,no
1048,MN,59.620000000000005,no,no,5,no
1049,MA,48.96,no,no,1,no
1050,PA,58.83,yes,no,0,no
1051,GA,69.14,no,no,2,no
1052,NV,44.1,no,no,1,no
1053,ME,62.23,no,no,2,no
1054,MN,61.68,no,yes,2,yes
1055,NH,48.28,no,no,0,no
1056,TN,53.29,no,no,2,no
1057,UT,53.33,no,no,1,no
1058,RI,65.15,yes,no,2,no
1059,NH,53.519999999999996,no,yes,2,no
1060,AK,42.6,no,yes,3,no
1061,NC,53.98,no,no,3,no
1062,AZ,55.09,no,no,4,no
1063,MA,55.040000000000006,no,yes,1,yes
1064,TN,46.12,no,no,1,no
1065,WY,71.28,no,yes,1,no
1066,IA,47.470000000000006,no,no,0,no
1067,IN,60.21,no,no,1,no
1068,NJ,64.64,no,no,0,no
1069,MT,60.730000000000004,no,no,0,no
1070,ND,74.98,yes,yes,1,no
1071,MI,56.66,no,no,4,no
1072,MT,43.150000000000006,no,no,6,yes
1073,AL,53.849999999999994,no,no,0,no
1074,NV,44.85,no,yes,2,no
1075,MI,76.28999999999999,no,no,1,yes
1076,FL,61.400000000000006,no,yes,1,no
1077,NY,72.55,no,no,0,yes
1078,KS,53.0,no,no,2,no
1079,NC,48.63,no,no,0,yes
1080,MN,50.17,no,no,0,no
1081,RI,70.23,no,no,4,no
1082,UT,38.589999999999996,no,no,2,no
1083,OR,75.21000000000001,no,no,5,yes
1084,IL,45.169999999999995,no,yes,1,no
1085,OH,51.96,no,no,2,no
1086,MA,65.41,no,no,1,no
1087,OR,48.59,no,no,0,no
1088,CA,67.99,no,no,0,no
1089,WV,55.21,no,yes,1,no
1090,VT,65.39,no,no,0,no
1091,ID,61.900000000000006,no,no,1,no
1092,OR,45.47,no,no,1,no
1093,GA,56.27,no,no,0,no
1094,ME,66.61,no,no,2,no
1095,HI,60.260000000000005,no,yes,2,no
1096,AZ,71.78,no,yes,1,no
1097,IA,58.22,no,no,3,no
1098,CT,41.34,no,no,3,no
1099,WA,71.66000000000001,no,no,1,yes
1100,VA,61.010000000000005,no,no,1,no
1101,CO,42.400000000000006,no,no,3,no
1102,LA,51.279999999999994,no,no,2,no
1103,TX,59.339999999999996,no,no,3,yes
1104,SD,56.02,no,no,3,no
1105,VA,54.28,no,no,0,no
1106,NY,55.019999999999996,yes,no,2,no
1107,WA,37.57,no,no,1,yes
1108,WI,59.33,no,no,1,no
1109,TN,55.29,no,no,1,no
1110,CT,57.910000000000004,no,no,2,no
1111,WA,50.519999999999996,no,no,3,no
1112,NH,56.83,no,no,2,no
1113,MT,58.660000000000004,no,no,2,no
1114,NE,68.35,no,yes,2,no
1115,WA,58.160000000000004,no,no,2,no
1116,WI,66.44999999999999,no,no,3,no
1117,AR,54.94,no,yes,2,no
1118,WI,60.010000000000005,no,no,1,no
1119,DE,42.940000000000005,yes,no,2,yes
1120,NH,62.5,no,no,0,no
1121,VA,51.72,no,no,2,no
1122,ID,38.03,no,no,2,yes
1123,TN,61.449999999999996,no,no,1,no
1124,MT,53.440000000000005,no,yes,2,no
1125,OK,62.839999999999996,no,no,3,no
1126,ID,62.86,no,yes,3,no
1127,NV,62.85,no,yes,1,no
1128,KS,77.6,no,no,1,yes
1129,WY,55.03,no,no,0,no
1130,MS,69.34,no,no,3,no
1131,WY,64.52,yes,no,0,yes
1132,TX,54.870000000000005,no,no,2,no
1133,WA,49.96,yes,no,4,yes
1134,HI,56.58,no,no,1,no
1135,IL,67.95,no,yes,1,no
1136,MD,57.87,no,no,0,no
1137,MA,72.63,no,no,0,yes
1138,SD,21.09,no,no,4,yes
1139,PA,46.879999999999995,yes,no,1,yes
1140,NC,64.88999999999999,no,no,0,no
1141,VT,55.66,no,no,1,no
1142,KY,47.8,no,yes,2,no
1143,WA,78.58,no,no,0,yes
1144,LA,39.37,no,no,1,no
1145,WA,42.699999999999996,no,yes,0,no
1146,ME,49.14,no,no,0,no
1147,WI,51.4,no,no,2,no
1148,TX,80.63000000000001,no,yes,3,no
1149,AZ,51.59,no,no,3,no
1150,ND,66.09,no,no,0,no
1151,VT,68.26,no,no,1,yes
1152,HI,37.75,no,no,2,no
1153,WY,66.12,no,no,1,no
1154,WV,35.51,no,no,3,no
1155,OK,49.88,no,yes,3,no
1156,CT,75.11999999999999,no,no,1,yes
1157,UT,58.529999999999994,no,no,1,no
1158,NY,40.59,no,no,3,no
1159,VA,64.28999999999999,yes,no,1,no
1160,VT,58.370000000000005,no,no,4,no
1161,SD,58.050000000000004,no,no,1,no
1162,PA,56.22,no,no,1,no
1163,ND,59.22,no,no,1,no
1164,CT,42.48,no,no,1,no
1165,SC,44.9,no,no,4,yes
1166,MI,56.46,no,yes,0,no
1167,VT,67.44,no,yes,0,no
1168,OH,75.17,no,no,4,yes
1169,IL,56.129999999999995,yes,yes,1,no
1170,MO,63.11,no,no,3,no
1171,WI,40.11,no,no,1,no
1172,NJ,57.24999999999999,no,no,1,no
1173,VT,51.68000000000001,no,yes,2,no
1174,CT,32.65,no,no,3,no
1175,SD,49.620000000000005,no,yes,0,no
1176,OH,60.88,no,no,1,no
1177,NY,35.370000000000005,no,no,1,no
1178,OK,73.14,no,no,3,yes
1179,NC,68.77,no,no,0,no
1180,HI,67.92999999999999,no,no,1,no
1181,UT,50.7,no,no,0,no
1182,MD,54.69,yes,yes,4,no
1183,VT,23.93,no,no,1,no
1184,TX,49.11,no,yes,1,no
1185,AZ,56.839999999999996,no,no,4,no
1186,VA,47.14,no,no,3,no
1187,NE,65.23,no,no,1,no
1188,KY,47.269999999999996,no,no,0,no
1189,NV,40.47,no,yes,3,no
1190,MT,42.32,no,no,4,yes
1191,MO,54.879999999999995,no,no,1,no
1192,MS,46.089999999999996,no,yes,6,yes
1193,NM,50.12,no,no,1,no
1194,NH,57.31,no,no,1,no
1195,NC,52.230000000000004,no,no,1,no
1196,MT,52.400000000000006,no,yes,1,no
1197,SD,57.45,no,yes,0,no
1198,VA,55.370000000000005,no,no,1,no
1199,LA,50.71,no,no,0,no
1200,AK,37.11,no,no,1,no
1201,OH,61.82,yes,yes,2,no
1202,NM,38.14,no,no,2,no
1203,MI,49.66,yes,no,3,yes
1204,MN,72.88,no,yes,0,no
1205,WY,57.849999999999994,no,yes,1,no
1206,WY,36.74,yes,yes,1,no
1207,WA,51.89000000000001,no,no,0,no
1208,NM,50.05,no,no,2,no
1209,VA,50.839999999999996,no,yes,2,no
1210,RI,63.91,no,no,2,no
1211,AL,63.13,yes,no,2,no
1212,WV,62.870000000000005,no,yes,1,no
1213,WV,66.73,no,yes,1,no
1214,NJ,62.980000000000004,no,no,1,no
1215,MI,61.14,no,no,1,no
1216,MI,64.45,no,yes,1,no
1217,ND,64.7,no,no,2,no
1218,VT,52.4,no,no,0,no
1219,WA,49.06,no,no,1,no
1220,NC,73.61999999999999,no,yes,1,no
1221,WV,62.62,no,no,3,no
1222,ID,69.39999999999999,no,yes,1,no
1223,LA,41.9,no,yes,2,no
1224,GA,54.129999999999995,no,no,0,no
1225,FL,63.31,no,no,4,no
1226,CO,69.44,no,no,4,no
1227,NV,43.9,no,no,0,no
1228,VA,48.849999999999994,no,no,2,no
1229,UT,60.11,no,yes,2,no
1230,UT,57.459999999999994,no,yes,2,yes
1231,MO,58.49,no,no,1,no
1232,HI,44.43,no,no,1,no
1233,MD,51.870000000000005,no,no,1,no
1234,VA,59.21,no,no,0,no
1235,MT,55.19,no,no,3,no
1236,SC,37.55,no,no,0,no
1237,CO,55.34,no,no,2,no
1238,ID,55.05,no,no,1,no
1239,UT,37.74,no,no,0,no
1240,RI,58.89,no,yes,0,no
1241,FL,52.120000000000005,no,yes,1,no
1242,MD,76.30000000000001,yes,no,1,yes
1243,IL,70.0,yes,no,1,no
1244,PA,43.730000000000004,no,no,0,no
1245,AZ,32.41,no,no,3,no
1246,NH,59.6,no,yes,0,no
1247,RI,62.74999999999999,no,no,1,no
1248,HI,68.91999999999999,no,no,2,no
1249,NJ,63.17,no,yes,1,no
1250,MD,54.61,no,yes,2,no
1251,OR,58.839999999999996,no,no,3,no
1252,NV,66.37,yes,no,1,no
1253,AR,49.06,yes,no,3,yes
1254,MT,45.61000000000001,no,no,1,no
1255,CT,53.1,no,no,0,no
1256,UT,69.23,no,yes,0,no
1257,NV,45.089999999999996,no,no,2,no
1258,TN,68.06,no,no,1,no
1259,DE,57.84,no,no,1,no
1260,NY,70.06,no,no,1,no
1261,IA,62.09,no,no,2,no
1262,VT,68.77,no,yes,0,no
1263,LA,51.290000000000006,no,yes,3,no
1264,MT,52.59,no,no,1,no
1265,WV,50.78000000000001,no,no,3,no
1266,ID,59.89,no,no,1,no
1267,AZ,63.830000000000005,no,no,0,no
1268,SC,63.080000000000005,no,yes,8,no
1269,OH,57.49,no,no,2,no
1270,MD,68.35,no,no,2,no
1271,MN,58.72,no,no,1,no
1272,NE,60.6,no,no,3,no
1273,MN,64.77000000000001,no,yes,3,no
1274,NY,70.00999999999999,no,no,1,no
1275,HI,67.22,no,no,1,no
1276,MO,55.660000000000004,no,yes,1,no
1277,NV,66.97,no,no,2,no
1278,MA,58.769999999999996,no,no,1,no
1279,FL,60.96,no,no,1,no
1280,WA,50.129999999999995,no,no,2,no
1281,CT,58.300000000000004,no,no,2,no
1282,KY,53.290000000000006,no,yes,2,no
1283,NM,60.239999999999995,no,no,3,no
1284,ND,53.66,no,no,1,no
1285,NV,45.86,no,no,2,no
1286,ID,39.43,no,no,1,no
1287,IA,49.88,no,no,0,no
1288,OH,61.3,no,no,0,yes
1289,NJ,51.129999999999995,no,no,3,no
1290,IA,75.0,no,no,1,yes
1291,DE,31.259999999999998,yes,no,4,yes
1292,CA,47.73,no,yes,0,yes
1293,WY,71.73,yes,no,2,yes
1294,ME,64.3,no,no,2,no
1295,AR,37.92,no,no,0,no
1296,WV,27.130000000000003,no,no,5,yes
1297,PA,57.160000000000004,yes,no,0,no
1298,DC,68.26,yes,no,0,no
1299,AR,56.81,no,no,1,no
1300,MS,51.54,no,no,1,no
1301,MD,68.32000000000001,no,no,1,no
1302,CT,43.89,no,no,1,no
1303,SC,32.629999999999995,no,no,2,no
1304,MI,60.83,no,no,0,yes
1305,SD,47.449999999999996,no,no,2,no
1306,CO,65.57,no,no,0,no
1307,ID,61.65,no,no,1,no
1308,AZ,55.870000000000005,no,yes,2,no
1309,FL,63.03,no,no,0,no
1310,MN,56.150000000000006,no,yes,2,no
1311,DE,49.269999999999996,no,yes,2,no
1312,MI,65.6,no,no,2,no
1313,MS,54.75,no,no,0,no
1314,MA,52.35000000000001,no,no,2,no
1315,CA,52.81,no,no,0,no
1316,MN,55.959999999999994,no,yes,1,no
1317,VT,46.22,no,no,1,no
1318,CT,40.81,no,no,0,no
1319,WV,66.44,no,yes,2,no
1320,WV,46.449999999999996,no,no,0,no
1321,NE,50.6,no,yes,1,no
1322,NC,58.36,no,yes,0,no
1323,NE,54.28,no,no,2,no
1324,IL,62.44,no,no,1,no
1325,MA,54.34,no,no,1,no
1326,AZ,48.75,no,yes,1,no
1327,SD,66.38,yes,yes,1,no
1328,MT,48.959999999999994,no,yes,1,no
1329,VT,45.36,no,no,3,no
1330,UT,55.559999999999995,no,no,1,no
1331,HI,50.22,no,no,2,no
1332,DC,50.4,no,yes,2,no
1333,WI,76.44000000000001,no,yes,0,no
1334,UT,58.58,no,yes,1,no
1335,WA,48.019999999999996,no,no,1,no
1336,MT,51.410000000000004,no,no,1,no
1337,NJ,70.98,no,no,2,yes
1338,CT,36.96,no,no,1,no
1339,VA,60.0,no,no,1,no
1340,NC,57.269999999999996,yes,no,1,no
1341,AK,49.9,no,no,1,no
1342,IL,57.06,no,yes,2,no
1343,CT,45.61,no,no,3,no
1344,KS,81.73,yes,no,1,yes
1345,MA,40.87,no,yes,3,no
1346,AR,61.07,no,yes,0,no
1347,MS,52.19,no,no,2,no
1348,ND,42.89,no,yes,2,no
1349,IN,59.620000000000005,no,no,1,no
1350,MI,57.78,no,yes,0,no
1351,VT,67.35000000000001,yes,yes,3,no
1352,WV,43.48,no,yes,2,no
1353,ME,47.5,no,no,3,no
1354,IA,49.84,no,no,1,no
1355,CT,68.43,no,no,0,no
1356,NM,46.910000000000004,no,yes,3,no
1357,OR,66.13,no,yes,2,no
1358,VT,61.620000000000005,no,no,0,no
1359,RI,66.05,yes,no,4,no
1360,AL,60.669999999999995,no,no,3,no
1361,CT,57.44,no,no,2,no
1362,TN,57.57,no,no,0,no
1363,ID,50.61,yes,no,0,no
1364,TX,56.699999999999996,no,yes,1,no
1365,NH,43.78,no,no,4,yes
1366,ND,61.739999999999995,no,yes,0,no
1367,KS,58.54,no,no,1,no
1368,ME,54.35,no,no,1,no
1369,RI,63.050000000000004,no,no,2,no
1370,WI,76.24,no,yes,0,no
1371,NC,57.230000000000004,no,no,1,no
1372,OH,53.71,no,no,2,no
1373,WY,37.25,no,no,1,no
1374,NJ,52.96,no,no,2,no
1375,WI,54.53,no,no,2,no
1376,KY,53.87,no,no,0,no
1377,NY,61.37,no,no,0,no
1378,AZ,49.93000000000001,no,no,4,yes
1379,CO,67.44,no,no,2,no
1380,MD,49.91,no,no,6,yes
1381,AR,49.019999999999996,no,no,2,no
1382,TN,61.91,no,no,3,no
1383,DE,65.34,yes,no,1,no
1384,WI,51.61,no,no,3,no
1385,WV,53.42,no,no,1,no
1386,CT,84.24000000000001,no,yes,3,no
1387,MN,74.63,no,no,0,yes
1388,MO,56.52,no,no,1,no
1389,VA,61.97,no,no,0,no
1390,NH,35.78,no,no,0,no
1391,OK,69.43999999999998,no,yes,1,no
1392,CT,53.78,yes,no,1,yes
1393,TN,69.96000000000001,no,yes,1,no
1394,MD,48.02,yes,no,1,yes
1395,WI,34.49,no,yes,1,no
1396,SD,52.01,no,no,3,no
1397,ND,50.349999999999994,no,yes,1,no
1398,VA,45.61000000000001,no,no,2,no
1399,MA,53.519999999999996,no,yes,0,no
1400,SD,64.01,no,no,3,no
1401,AL,64.19,no,yes,1,no
1402,AL,48.37,yes,no,5,yes
1403,WV,57.51,no,no,1,no
1404,SC,58.17,no,yes,2,no
1405,UT,53.29,no,no,0,no
1406,NY,52.58,no,no,1,no
1407,NH,48.33,no,yes,1,no
1408,VA,59.5,no,no,2,no
1409,VT,56.699999999999996,no,no,2,no
1410,WY,61.3,no,no,5,no
1411,NV,70.58,yes,no,1,yes
1412,WV,53.099999999999994,no,no,0,no
1413,WA,44.400000000000006,no,no,2,no
1414,KS,56.5,no,no,1,no
1415,OK,85.8,no,no,0,yes
1416,CO,54.28,no,no,1,no
1417,AK,49.309999999999995,no,yes,1,no
1418,TN,64.11,no,yes,2,no
1419,KY,36.0,no,no,2,no
1420,PA,45.19,no,no,3,no
1421,CT,69.5,no,yes,2,no
1422,MN,36.11,no,no,3,no
1423,PA,65.59,no,yes,1,no
1424,OR,73.66,no,no,2,yes
1425,PA,73.28999999999999,no,no,1,yes
1426,OK,62.74,no,yes,1,no
1427,VT,49.65,no,no,7,yes
1428,PA,60.620000000000005,no,no,1,no
1429,NM,55.95,no,no,1,no
1430,FL,61.57,no,no,0,no
1431,TX,58.49,no,no,4,no
1432,VT,55.63,no,yes,2,no
1433,MA,81.11,no,no,2,yes
1434,DE,55.46,no,yes,2,no
1435,FL,73.21000000000001,no,no,1,yes
1436,ID,62.2,no,yes,3,no
1437,MD,68.75999999999999,no,no,1,no
1438,WV,45.24,no,no,5,yes
1439,ID,55.68,no,yes,4,no
1440,NV,63.05,no,no,3,no
1441,OH,60.59,no,no,2,no
1442,ID,59.580000000000005,yes,yes,0,no
1443,MO,47.44,no,no,5,yes
1444,NE,53.69,no,no,3,no
1445,NC,48.83,no,yes,0,no
1446,ME,53.25000000000001,no,yes,1,no
1447,AZ,71.84,yes,no,2,yes
1448,AZ,52.75,no,no,2,no
1449,HI,52.260000000000005,no,no,1,no
1450,NJ,59.949999999999996,no,no,1,no
1451,SC,36.82,no,no,1,no
1452,MN,51.949999999999996,no,no,2,no
1453,WV,49.61,no,no,1,no
1454,MS,42.42,no,no,1,no
1455,NM,51.19,no,no,2,no
1456,HI,52.72,no,yes,3,no
1457,WA,54.92,no,no,0,no
1458,WI,61.949999999999996,no,no,1,no
1459,CO,45.81,no,no,0,no
1460,NV,74.78,no,no,1,yes
1461,RI,51.4,no,no,0,no
1462,VA,63.8,no,yes,0,no
1463,NJ,78.78999999999999,no,no,2,yes
